,0-2,3-6,7-14,15 и ст.
154,1.434889426848511e-14,5.5302739567748e-14,7.009758603548237e-14,1.9091322785426602e-14
155,1.0438292659312511e-14,4.023070835066099e-14,5.0993414827563036e-14,1.3888234923116712e-14
156,7.593473866537923e-15,2.926636016671844e-14,3.709583314979887e-14,1.010317993402303e-14
157,5.523972860672028e-15,2.1290200260518435e-14,2.6985853795653328e-14,7.349691688275298e-15
158,4.018487019479721e-15,1.5487837385683468e-14,1.9631215779401513e-14,5.3466302951602806e-15
159,2.923301459479376e-15,1.1266831873357557e-14,1.4280987212622405e-14,3.889476827814243e-15
160,2.1265942583785364e-15,8.196205661343462e-15,1.0388892774592192e-14,2.829451291554177e-15
161,1.5470190818342669e-15,5.9624380658321996e-15,7.557537267912371e-15,2.058321714125391e-15
162,1.1253994644865316e-15,4.337454324329097e-15,5.497830307342493e-15,1.4973533177568631e-15
163,8.18686704991953e-16,3.1553384383901873e-15,3.999469273762915e-15,1.0892694484108718e-15
164,5.955644569605199e-16,2.2953926234883436e-15,2.9094667491666514e-15,7.924034475836301e-16
165,4.332512305768606e-16,1.6698136820634648e-15,2.1165300156293095e-15,5.764443542031468e-16
166,3.1517433017129697e-16,1.2147280183243583e-15,1.5396977155153636e-15,4.1934205928301847e-16
167,2.2927772938270576e-16,8.836699413546551e-16,1.1200734398554494e-15,3.05055919797857e-16
168,1.6679111259574488e-16,6.42837370567038e-16,8.1481221802663695e-16,2.2191695811010928e-16
169,1.2133439787556106e-16,4.676405359721209e-16,5.927459102424297e-16,1.6143642231062824e-16
170,8.826631034896364e-17,3.401912846034309e-16,4.312008415387319e-16,1.1743905770159475e-16
171,6.421049330635696e-17,2.47476643314411e-16,3.1368274758347056e-16,8.543259368880662e-17
172,4.671077146360091e-17,1.8003015291106764e-16,2.2819265792800396e-16,6.214906869350343e-17
173,3.3980367668484204e-17,1.3096531261742334e-16,1.6600176303413297e-16,4.521116090118041e-17
174,2.4719467281441336e-17,9.52724464854075e-17,1.2076017511104455e-16,3.2889456157628526e-17
175,1.798250297465091e-17,6.930719957757176e-17,8.784858441444149e-17,2.3925869293843475e-17
176,1.3081609306204828e-17,5.04184377591384e-17,6.390661305786256e-17,1.7405189636536633e-17
177,9.516389474892159e-18,3.667755848693571e-17,4.6489709763109065e-17,1.2661635093097907e-17
178,6.92282321830872e-18,2.6681574367479533e-17,3.381955341462442e-17,9.210873686445459e-18
