,A(H3N2)_0-14,B_0-14
207,7.037743454588338e-250,1.9815363347015686e-05
208,4.116578144474733e-251,1.7228069559039903e-05
209,2.4079047109292203e-252,1.497859895442489e-05
210,1.4084525771516992e-253,1.3022841929881584e-05
211,8.238443377750803e-255,1.1322448276910476e-05
212,4.8189019912303846e-256,9.844075177130948e-06
213,2.8187140865776286e-257,8.558733386921213e-06
214,1.64874677179743e-258,7.441218790783555e-06
215,9.643993090292414e-260,6.469618176834058e-06
216,5.641048359551954e-261,5.6248795432283314e-06
217,3.299611094314354e-262,4.890438509713838e-06
218,1.9300372341451446e-263,4.251893508657976e-06
219,1.128934173955739e-264,3.696723386411755e-06
220,6.603460008761208e-266,3.2140418774880683e-06
221,3.8625532907785774e-267,2.7943841370680335e-06
222,2.259318282260215e-268,2.4295211459768176e-06
223,1.3215401099322746e-269,2.112298348818184e-06
224,7.730067409540063e-271,1.8364953611421719e-06
225,4.521538295098559e-272,1.5967039946603905e-06
226,2.6447775253169134e-273,1.388222208719858e-06
227,1.547006284558584e-274,1.2069619085424119e-06
228,9.048883777729316e-276,1.0493687822562788e-06
229,5.292951841235498e-277,9.12352604813643e-07
230,3.0959994494022456e-278,7.932266421319818e-07
231,1.8109389388354588e-279,6.896549672421367e-07
232,1.0592701626017087e-280,5.996066553716877e-07
233,6.195975211055999e-282,5.213159597804374e-07
234,3.624203736812892e-283,4.5324768744065866e-07
235,2.1199007869611048e-284,3.9406709561791274e-07
236,1.2399908153354864e-285,3.4261371905803606e-07
237,7.253062179003078e-287,2.978786145606977e-07
238,4.2425242446816565e-288,2.5898457673105353e-07
239,2.4815741989365374e-289,2.2516893696250196e-07
240,1.4515439746850713e-290,1.9576860835782477e-07
241,8.490497327648405e-292,1.7020708333633306e-07
242,4.9663355797680934e-293,1.4798312896463026e-07
243,2.9049522235336296e-294,1.2866095833906517e-07
244,1.6991899329935115e-295,1.118616852916718e-07
245,9.939049616703672e-297,9.725589485593192e-08
246,5.813635389731519e-298,8.455718380749896e-08
247,3.400562201432976e-299,7.351654461710719e-08
248,1.989086433978439e-300,6.391748269126065e-08
249,1.163473745655647e-301,5.557177115524971e-08
250,6.805491876600915e-303,4.831575993453544e-08
251,3.980727528696767e-304,4.2007166759713664e-08
252,2.328441785700487e-305,3.652228717025292e-08
253,1.3619724309973568e-306,3.175356880829833e-08
254,7.966567659986516e-308,2.7607502437154447e-08
255,4.65987408069938e-309,2.400278832967662e-08
256,2.72569406532967e-310,2.086874207149719e-08
257,9.40898782819e-312,5.445521289696231e-09
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,0.0,0.0
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,0.0,0.0
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,0.0,0.0
284,0.0,0.0
285,0.0,0.0
286,0.0,0.0
287,0.0,0.0
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,0.0,0.0
293,0.0,0.0
294,0.0,0.0
295,0.0,0.0
296,0.0,0.0
297,0.0,0.0
298,0.0,0.0
299,0.0,0.0
300,0.0,0.0
301,0.0,0.0
302,0.0,0.0
303,0.0,0.0
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,0.0,0.0
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
