,A(H1N1)pdm09_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_0-14,A(H3N2)_15 и ст.,B_0-14,B_15 и ст.
205,2.526859218131191e-28,1.7152384576737847e-17,1.2608375408617172e-187,1.3205564291210482e-28,1.2348527291987782e-17,3.337573408067327e-188
206,1.6871824860447243e-28,1.3155809195243423e-17,1.4208018959108984e-188,8.817347888081348e-29,9.471270199711439e-18,3.761016365901451e-189
207,1.126530801870841e-28,1.0090452135522723e-17,1.6010611692639969e-189,5.887338251133991e-29,7.264425714485489e-18,4.238182168634179e-190
208,7.521839860600112e-29,7.739335740449003e-18,1.8041902077288277e-190,3.930972456028114e-29,5.571784971659433e-18,4.775886714394418e-191
209,5.0223282660849515e-29,5.936039029661225e-18,2.0330905328001636e-191,2.624708109318385e-29,4.27353640749683e-18,5.381810644557475e-192
210,3.3534057730263165e-29,4.552917788215386e-18,2.2910317863685666e-192,1.7525161359391678e-29,3.277785039999784e-18,6.064609055021265e-193
211,2.2390671582549267e-29,3.492069422500261e-18,2.5816984347086444e-193,1.1701540433479846e-29,2.5140477918004853e-18,6.834035126717125e-194
212,1.4950238886990937e-29,2.6784030414793025e-18,2.909242397872525e-194,7.813111999849599e-30,1.928264429279754e-18,7.701079441309476e-195
213,9.982266139453084e-30,2.0543242371937815e-18,3.2783423562536427e-195,5.2168105104808094e-30,1.4789709731662293e-18,8.678126972087818e-196
214,6.665153515746093e-30,1.5756583330307665e-18,3.694270581463462e-196,3.483261458787091e-30,1.134364720032348e-18,9.779133992529305e-197
215,4.4503192729838845e-30,1.2085235317286988e-18,4.162968246142038e-197,2.3257717269767815e-30,8.700531257211085e-19,1.1019827429516712e-197
216,2.971475688399777e-30,9.269326326175615e-19,4.691130288437515e-198,1.5529164807192237e-30,6.673272080918423e-19,1.2417929508798985e-198
217,1.9840526544583716e-30,7.10953558498194e-19,5.286301043369762e-199,1.0368814652434092e-30,5.118372539499386e-19,1.3993410901559234e-199
218,1.3247508472072366e-30,5.452984872416159e-19,5.956982007088942e-200,6.92325174157069e-31,3.925770916491071e-19,1.5768775988068507e-200
219,8.845353994173003e-31,4.182417214650599e-19,6.712753273347637e-201,4.622651313948372e-31,3.01105032309245e-19,1.7769384313168368e-201
220,5.9060379125006025e-31,3.2078969897554263e-19,7.564410376800827e-202,3.0865416957235486e-31,2.3094633489971665e-19,2.0023812825293996e-202
221,3.943458209459224e-31,2.460443941564449e-19,8.524118497821144e-203,2.060882163163388e-31,1.7713489938897466e-19,2.2564264073306904e-203
222,2.6330448398979464e-31,1.88715049420672e-19,9.605586231510956e-204,1.3760498671797035e-31,1.358617472546895e-19,2.5427026191873785e-204
223,1.7580825662823319e-31,1.4474367522148164e-19,1.082426140305034e-204,9.18787726348603e-32,1.0420540746498445e-19,2.865299124588214e-205
224,1.1738707457734248e-31,1.1101781008423806e-19,1.2197551726432764e-205,6.134740507762367e-32,7.992512362282038e-20,3.2288239337991465e-206
225,7.837928401147497e-32,8.515020871924619e-20,1.3745073458506443e-206,4.0961628043452033e-32,6.130224468696265e-20,3.6384696822787966e-207
226,5.233380407741423e-32,6.530986370051451e-20,1.5488931600127833e-207,2.735005612457616e-32,4.701857230017796e-20,4.100087802955901e-208
227,3.494325169916334e-32,5.009239978076171e-20,1.7454035646856939e-208,1.8261617170683783e-32,3.6063053684838855e-20,4.620272108855139e-209
228,2.3331589607070885e-32,3.8420666858257243e-20,1.9668455399418148e-209,1.2193271566596492e-32,2.766021547342148e-20,5.206452979976418e-210
229,1.5578489325474312e-32,2.9468495186771036e-20,2.216382191636942e-210,8.141440602283937e-33,2.121527274762517e-20,5.867003499805172e-211
230,1.0401748605691547e-32,2.260221593176527e-20,2.497577933623957e-211,5.436035334610286e-33,1.627202789467109e-20,6.611359057521356e-212
231,6.94524172373253e-33,1.7335807674885223e-20,2.8144494023019666e-212,3.6296377511913175e-33,1.2480579201348865e-20,7.450152124320558e-213
232,4.6373340127333615e-33,1.3296493965365703e-20,3.1715228307708654e-213,2.4235070955103795e-33,9.572553477010272e-21,8.395364129009695e-214
233,3.0963453254865977e-33,1.0198356781907311e-20,3.573898702131168e-214,1.618174331601383e-33,7.342109576157967e-21,9.460496602287911e-215
234,2.067428041270565e-33,7.822098165274829e-21,4.0273246054452407e-215,1.0804540957624634e-33,5.6313681775478335e-21,1.066076403435982e-215
235,1.3804205463291266e-33,5.99951747282888e-21,4.538277335043892e-216,7.21418595173621e-34,4.3192364840314815e-21,1.2013311200684167e-216
236,9.217060263710634e-34,4.60160549589758e-21,5.114055405895475e-217,4.816907923283953e-34,3.3128368127960443e-21,1.3537458060167085e-217
237,6.154225980683019e-34,3.529412696233141e-21,5.762883306538995e-218,3.216246725080831e-34,2.540932358946212e-21,1.5254975723957418e-218
238,4.109173243711246e-34,2.7070451805216943e-21,6.494028978743648e-219,2.14748613868893e-34,1.9488847829153383e-21,1.7190397436818204e-219
239,2.743692675542345e-34,2.0762926413243873e-21,7.317936201989433e-220,1.4338752931789422e-34,1.494786700522069e-21,1.9371369013172394e-220
240,1.8319620642292143e-34,1.5925080096324793e-21,8.246373773765925e-221,9.57397730932137e-35,1.146495318576623e-21,2.1829043733496785e-221
241,1.2232000452133612e-34,1.2214471651385e-21,9.292603616599914e-222,6.392539292324742e-35,8.793572454578483e-22,2.4598527341815323e-222
242,8.167299857486366e-35,9.368450068701306e-22,1.0471570213074475e-222,4.268294908546457e-35,6.744634300811888e-22,2.771937950069365e-223
243,5.453301544839428e-35,7.185563092268303e-22,1.1800114074753784e-223,2.8499381221164524e-35,5.173107071859436e-22,3.123617886658299e-224
